Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
04 HU-Resumen de Productos,,,,2022-05-24 13:45:41,2022-05-24 14:56:50,"1h - 11m - 8,862s",FAILED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/27 Validar pantalla de Dashboard,,"na vez realizado el login exitoso se debe visualizar la pantalla de Dashboard. o al seleccionar el menú Mis productos.

La pantalla cuenta con los siguientes elementos:

Header de la pantalla con el texto que la identifica “Mis productos”.

Slider principal, contiene los siguientes elementos:

Slider 1.

Botón flecha hacia abajo 1.

Barra de subtítulos “Todos mis productos”.

Listado de productos asociados al usuario",TET-842,2022-05-24 13:48:20,2022-05-24 13:49:14,"54,330s",PASSED
"callTestCase(findTestCase(""Sprint 1/01HU-Login-Cierre de Sesión/11 Especificaciones Funcionales - Login exitoso del usuario""), [""NumeroCelular"":findTestData(""Usuarios"").getValue(1, 1), ""Contrasena"":findTestData(""Usuarios"").getValue(2, 1)], CONTINUE_ON_FAILURE)",,,,2022-05-24 13:48:20,2022-05-24 13:48:51,"31,193s",PASSED
"Misproductos = getText(findTestObject(""Sprint 1/dasboard/android.widget.TextView - Mis productos titulo pantalla""), 0)",,,,2022-05-24 13:48:51,2022-05-24 13:49:11,"19,993s",PASSED
"verifyEqual(Misproductos, ""Mis productos"")",,,,2022-05-24 13:49:11,2022-05-24 13:49:11,"0,002s",PASSED
"Todosmisproductos = getText(findTestObject(""Sprint 1/dasboard/android.widget.TextView - Todos mis productos""), 0)",,,,2022-05-24 13:49:11,2022-05-24 13:49:12,"0,619s",PASSED
"verifyEqual(Todosmisproductos, ""Todos mis productos"")",,,,2022-05-24 13:49:12,2022-05-24 13:49:12,"0,002s",PASSED
"tap(findTestObject(""Sprint 1/dasboard/android.widget.ImageView flecha hacia abajo resumen de productos""), 0)",,,,2022-05-24 13:49:12,2022-05-24 13:49:13,"0,709s",PASSED
"tap(findTestObject(""Sprint 1/dasboard/android.view.ViewGroup flecha hacia arriba""), 0)",,,,2022-05-24 13:49:13,2022-05-24 13:49:14,"1,777s",PASSED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/28 Dashboard,,"Se elimina punto relacionado con el ícono de tres puntos. El ícono de tres puntos se ocultó para este Sprint. Observación para QA.

La slider 1 muestra el resumen de saldos del cliente.

La descripción de la slider 1 se refleja en la sección Pantalla Resumen de saldos

Al seleccionar el botón flecha hacia abajo 1, con la slider 1 activa, el botón de flecha cambia de posición hacia arriba y despliega la slider hacia abajo con la animación correspondiente, mostrando al usuario la Pantalla Resumen de saldos.
o   La slider 1 se despliega sobre el listado de productos y el resto de los elementos en la pantalla.

Los productos del cliente se mostrarán en forma de renglones en la pantalla, bajo la barra de subtítulos Todos mis productos.

El usuario podrá hacer scroll en la pantalla para ver todos los productos.

El scroll se debe aplicar sobre toda la pantalla, incluyendo la sección verde superior.",TET-839,2022-05-24 13:56:42,2022-05-24 13:59:16,"2m - 33,953s",FAILED
"callTestCase(findTestCase(""Sprint 1/01HU-Login-Cierre de Sesión/11 Especificaciones Funcionales - Login exitoso del usuario""), [""NumeroCelular"":findTestData(""Usuarios"").getValue(1, 1), ""Contrasena"":findTestData(""Usuarios"").getValue(2, 1)], CONTINUE_ON_FAILURE)",,,,2022-05-24 13:56:42,2022-05-24 13:57:14,"31,721s",PASSED
"tap(findTestObject(""Sprint 1/dasboard/android.view.ViewGroup flecha hacia abajo""), 0)",,,,2022-05-24 13:57:14,2022-05-24 13:57:36,"22,787s",PASSED
"tap(findTestObject(""Sprint 1/dasboard/android.view.ViewGroup flecha hacia arriba""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-24 13:57:36,2022-05-24 13:57:38,"1,909s",PASSED
"tap(findTestObject(""Sprint 1/dasboard/android.widget.TextView - Caja de ahorros""), 0)",,,,2022-05-24 13:57:38,2022-05-24 13:58:09,"30,375s",FAILED
"scrollToText(""yes"", CONTINUE_ON_FAILURE)",,,,2022-05-24 13:58:09,2022-05-24 13:58:46,"36,769s",FAILED
"tap(findTestObject(""Sprint 1/dasboard/android.widget.ImageView Back Detalle de cuenta""), 0)",,,,2022-05-24 13:58:46,2022-05-24 13:59:16,"30,385s",FAILED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/29 Dashboard - Ingresar con un cliente que posea Caja de ahorro,,"1- Alias completo del producto > Alineado a la izquierda.

 Número del producto > Alineado a la izquierda, bajo el alias.

 Monto, acompañado del tipo de moneda > Alineado a la derecha.

 Texto con descripción del monto > Alineado a la derecha, bajo el monto.",TET-838,2022-05-24 14:05:11,2022-05-24 14:07:10,"1m - 58,454s",FAILED
"startApplication(""C:\Users\Jose_Arrieta\Desktop\JA\Proyectos\Automatizacion de pruebas\APK para inicio\crtopyinfinitymobilebanking-release (8).apk"", false)",,,,2022-05-24 14:05:11,2022-05-24 14:05:28,"16,603s",PASSED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-24 14:05:28,2022-05-24 14:05:38,"10,010s",PASSED
"clearText(findTestObject(""Sprint 1/Login/android.widget.EditText - Campo numero de celular en Blanco""), 0)",,,,2022-05-24 14:05:38,2022-05-24 14:06:08,"30,143s",FAILED
"setText(findTestObject(""Sprint 1/Login/android.widget.EditText - Campo numero de celular en Blanco""), ""0972875200"", 0)",,,,2022-05-24 14:06:08,2022-05-24 14:06:38,"30,148s",FAILED
"setText(findTestObject(""Sprint 1/Login/android.widget.EditText - Numero de celular login""), ""Kony!12345"", 0)",,,,2022-05-24 14:06:38,2022-05-24 14:06:40,"1,458s",PASSED
"getText(findTestObject(""Sprint 1/Caja de ahorros/android.widget.TextView - Caja de Ahorro""), 0)",,,,2022-05-24 14:06:40,2022-05-24 14:07:10,"30,074s",FAILED
"verifyEqual(Cajadeahorros, ""Caja de ahorros"")",,,,2022-05-24 14:07:10,2022-05-24 14:07:10,"0,001s",ERROR
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/30 Dashboard - Ingresar con un cliente que posea Prestamos,,"1- Alias completo del producto > Alineado a la izquierda.

 Número del producto > Alineado a la izquierda, bajo el alias.

 Monto, acompañado del tipo de moneda > Alineado a la derecha.

 Texto con descripción del monto > Alineado a la derecha, bajo el monto.",TET-837,2022-05-24 14:12:01,2022-05-24 14:13:42,"1m - 40,961s",FAILED
"startApplication(""C:\Users\Jose_Arrieta\Desktop\JA\Proyectos\Automatizacion de pruebas\APK para inicio\crtopyinfinitymobilebanking-release (8).apk"", false)",,,,2022-05-24 14:12:01,2022-05-24 14:12:27,"26,362s",PASSED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-24 14:12:27,2022-05-24 14:12:37,"10,009s",PASSED
"clearText(findTestObject(""Sprint 1/Login/android.widget.EditText - Campo numero de celular en Blanco""), 0)",,,,2022-05-24 14:12:37,2022-05-24 14:13:07,"30,110s",FAILED
"setText(findTestObject(""Sprint 1/Login/android.widget.EditText - Campo numero de celular en Blanco""), ""0972875200 "", 0)",,,,2022-05-24 14:13:07,2022-05-24 14:13:37,"30,056s",FAILED
"setText(findTestObject(""Sprint 1/Login/android.widget.EditText - tipear contrasea""), ""Kony!12345"", 0)",,,,2022-05-24 14:13:37,2022-05-24 14:13:38,"1,021s",PASSED
"tap(findTestObject(""Sprint 1/Login/android.widget.Button - Ingresar""), 0)",,,,2022-05-24 14:13:38,2022-05-24 14:13:39,"0,988s",PASSED
"getText(findTestObject(""dasboard/android.widget.TextView - Prestamo Etiqueta""), 0)",,,,2022-05-24 14:13:39,2022-05-24 14:13:42,"2,405s",FAILED
"verifyEqual(Prestamo, ""Prestamo"")",,,,2022-05-24 14:13:42,2022-05-24 14:13:42,"0,002s",ERROR
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/31 Dasboard - Ingresar con un cliente que posea CDA,,"En la pantalla de dashboard se debe de visualizar los siguientes datos para una CDA: 

CDA> Alineado a la izquierda.(En caso de no tener el alias)

N°  131231211 > Alineado a la izquierda, bajo el alias 

GS. 146.670 > Alineado a la derecha. 

Capital > Alineado a la derecha, bajo el monto.",TET-836,2022-05-24 14:24:12,2022-05-24 14:27:34,"3m - 21,331s",FAILED
