Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
01HU-Login-Cierre de Sesión,,,,2022-05-23 23:35:57,2022-05-24 00:02:07,"26m - 10,134s",FAILED
,,,,,,,
Test Cases/Sprint 1/01HU-Login-Cierre de Sesión/01 Especificaciones Funcionales - Primer Login exitoso del Cliente,,"Si el nombre del cliente es mayor al límite máximo de caracteres que permite la resolución del dispositivo, la aplicación mostrará el nombre de usuario seguido de tres (03) puntos suspensivos (…), para indicar que continúa. No se generará una segunda línea con el nombre del usuario en ningún caso.
El límite de caracteres máximo a mostrar dependerá de la resolución del dispositivo móvil.


Precondiciones
El primer nombre del cliente será retornado por el servicio.


Datos utilizados
Cliente: 477726   Numero de documento: 3456789

LUIS AUGUSTO EMMANUEL DUARTE SANCHEZ


Pasos a seguir
Ingresar datos correctos del cliente, e iniciar sesión


Resultado Esperado
Al ingresar por primera vez en la aplicación, el texto de bienvenida expresa “¡Hola!”.

Si el usuario hace login exitoso, al cerrar sesión podrá ver en la Pantalla Login, el texto “¡Hola <Primer nombre del cliente>!”.",TET-918,2022-05-23 23:35:57,2022-05-23 23:37:41,"1m - 44,324s",PASSED
"startApplication(URL, true)",,,,2022-05-23 23:35:59,2022-05-23 23:36:51,"51,824s",PASSED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-23 23:36:51,2022-05-23 23:37:01,"10,040s",PASSED
"Hola = getText(findTestObject(""Object Repository/Sprint 1/Inicio primera vez y cierre de sesion/android.widget.TextView - Hola Primer Login""), 0)",,,,2022-05-23 23:37:01,2022-05-23 23:37:03,"2,170s",PASSED
"verifyEqual(Hola, ""¡Hola!"")",,,,2022-05-23 23:37:03,2022-05-23 23:37:03,"0,013s",PASSED
"setText(findTestObject(""Object Repository/Sprint 1/Inicio primera vez y cierre de sesion/android.widget.EditText - Ejemplo 0981123456 (1)""), Numerocelular, 0)",,,,2022-05-23 23:37:03,2022-05-23 23:37:05,"2,115s",PASSED
"setText(findTestObject(""Object Repository/Sprint 1/Inicio primera vez y cierre de sesion/android.widget.EditText (2)""), Contrasena, 0)",,,,2022-05-23 23:37:05,2022-05-23 23:37:07,"1,928s",PASSED
"tap(findTestObject(""Object Repository/Sprint 1/Inicio primera vez y cierre de sesion/android.widget.Button - Ingresar (2)""), 0)",,,,2022-05-23 23:37:07,2022-05-23 23:37:08,"1,312s",PASSED
"tap(findTestObject(""Sprint 1/Inicio primera vez y cierre de sesion/android.widget.Button - NO (1)""), 0)",,,,2022-05-23 23:37:08,2022-05-23 23:37:29,"20,445s",PASSED
"tap(findTestObject(""Sprint 1/Inicio primera vez y cierre de sesion/android.widget.ImageView""), 0)",,,,2022-05-23 23:37:29,2022-05-23 23:37:30,"1,601s",PASSED
"tap(findTestObject(""Sprint 1/cierre de sesion/android.widget.ImageView Icono salir superior""), 0)",,,,2022-05-23 23:37:30,2022-05-23 23:37:33,"2,883s",PASSED
"tap(findTestObject(""Sprint 1/cierre de sesion/android.widget.Button - SI (cerrar sesion)""), 0)",,,,2022-05-23 23:37:33,2022-05-23 23:37:34,"0,716s",PASSED
"SILVIA = getText(findTestObject(""Sprint 1/Inicio primera vez y cierre de sesion/android.widget.TextView -  NombreUsuario""), 0)",,,,2022-05-23 23:37:34,2022-05-23 23:37:41,"7,661s",PASSED
"verifyEqual(Nombredeusuario, findTestData(""Usuarios"").getValue(4, 1))",,,,2022-05-23 23:37:41,2022-05-23 23:37:41,"0,064s",PASSED
,,,,,,,
Test Cases/Sprint 1/01HU-Login-Cierre de Sesión/02Estructura de la pantalla - Pantalla de Login,,"La pantalla cuenta con los siguientes elementos:

Encabezado de la pantalla con banner principal.

Texto de bienvenida “¡Hola!”.

 Número de celular (Campo de texto).

Contraseña (Campo de texto).

 Icono de mostrar contraseña.

 ¿Olvidaste tu contraseña? (Botón plano).

Ingresar (Botón).

 Menú inferior:  Soporte (Botón plano).

El campo Número de celular muestra el texto de ayuda “Ejemplo: 0981748291”.",TET-920,2022-05-23 23:37:41,2022-05-23 23:38:10,"28,905s",PASSED
"startApplication(URL, false)",,,,2022-05-23 23:37:42,2022-05-23 23:37:55,"13,015s",PASSED
"delay(5, CONTINUE_ON_FAILURE)",,,,2022-05-23 23:37:55,2022-05-23 23:38:00,"5,002s",PASSED
"clearText(findTestObject(""Sprint 1/Login/android.widget.EditText - Numero de celular login""), 0)",,,,2022-05-23 23:38:00,2022-05-23 23:38:02,"2,188s",PASSED
"Banner = getAttribute(findTestObject(""Sprint 1/Login/android.widget.ImageView.Banner""), ""resource-id"", 0)",,,,2022-05-23 23:38:02,2022-05-23 23:38:04,"1,915s",PASSED
"verifyMatch(Banner, ""com.verticalapps.KonyMobileBanking:id/imgKonyLogo"", false)",,,,2022-05-23 23:38:04,2022-05-23 23:38:04,"0,010s",PASSED
"Hola = getText(findTestObject(""Sprint 1/Login/android.widget.TextView - Hola (1)""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-23 23:38:04,2022-05-23 23:38:05,"0,820s",PASSED
