Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
02 HU- Soporte,,,,2022-05-23 11:17:24,2022-05-23 11:18:38,"1m - 14,200s",FAILED
,,,,,,,
Test Cases/Sprint 1/02HU-Soporte/20 Estructura de la pantalla - Pantalla de Soporte,,"Para ingresar a esta pantalla el usuario debe seleccionar el botón plano Soporte presente en la Pantalla Login, o seleccionar la opción Soporte en el menú principal de la App.


Datos utilizados
Ninguna

Pasos a seguir
Ninguna

Resultado Esperado
·         La pantalla cuenta con los siguientes elementos:

 Header con el nombre que la identifica “Soporte”.

Botón de flecha para regresar.

Lista de opciones disponibles:

Preguntas frecuentes.

 Bases y condiciones.

Seguridad.

Texto informativo con los datos de la App y del dispositivo",TET-830,2022-05-23 11:17:24,2022-05-23 11:17:35,"11,279s",FAILED
"startApplication(APKjose, false)",,,,2022-05-23 11:17:25,2022-05-23 11:17:25,"0,291s",FAILED
"delay(10, STOP_ON_FAILURE)",,,,2022-05-23 11:17:25,2022-05-23 11:17:35,"10,044s",PASSED
"tap(findTestObject(""Sprint 1/Login/android.widget.Button - Soporte""), 0)",,,,2022-05-23 11:17:35,2022-05-23 11:17:35,"0,161s",PASSED
,,,,,,,
Test Cases/Sprint 1/02HU-Soporte/21 Especificaciones Funcionales - Pantalla Soporte desde la opción Soporte del menú principal de la App,,"El usuario debe poder ingresar a esta pantalla seleccionando el botón plano Soporte presente en la Pantalla Login, o seleccionando la opción Soporte en el menú principal de la App.",Pantalla de Soporte,2022-05-23 11:17:35,2022-05-23 11:17:46,"10,455s",FAILED
"startApplication(APKjose, false)",,,,2022-05-23 11:17:36,2022-05-23 11:17:36,"0,007s",FAILED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-23 11:17:36,2022-05-23 11:17:46,"10,015s",PASSED
"tap(findTestObject(""Sprint 1/Soporte/android.widget.Button - Soporte pantalla de inicio""), 0)",,,,2022-05-23 11:17:46,2022-05-23 11:17:46,"0,064s",PASSED
,,,,,,,
